Attr0_X,Attr1_X,Attr2_X,Attr3_X,Attr4_X,Attr5_X,Attr6_X,Attr7_T,Attr8_T,Attr9_X,Attr10_X,Attr11_X,Attr12_X,outcome
38.0,6.0,14.0,11.0,2.0,13.0,0.0,4.0,1.0,42.0,47.0,72.0,39.0,1
31.0,4.0,11.0,13.0,4.0,7.0,1.0,3.0,1.0,42.0,47.0,65.0,39.0,1
10.0,4.0,12.0,13.0,4.0,0.0,0.0,1.0,0.0,42.0,47.0,50.0,39.0,1
10.0,4.0,9.0,14.0,3.0,3.0,1.0,3.0,1.0,94.0,47.0,41.0,39.0,1
61.0,-1.0,11.0,13.0,4.0,4.0,0.0,4.0,1.0,42.0,47.0,41.0,39.0,1
17.0,4.0,7.0,6.0,4.0,12.0,4.0,2.0,1.0,42.0,47.0,36.0,39.0,1
26.0,2.0,15.0,9.0,2.0,4.0,1.0,4.0,1.0,87.0,47.0,70.0,39.0,1
20.0,4.0,5.0,10.0,2.0,5.0,4.0,4.0,0.0,42.0,47.0,70.0,39.0,1
16.0,4.0,15.0,10.0,2.0,3.0,0.0,4.0,1.0,42.0,47.0,41.0,39.0,1
20.0,4.0,12.0,14.0,2.0,0.0,3.0,4.0,1.0,42.0,47.0,41.0,39.0,1
32.0,4.0,15.0,9.0,2.0,14.0,0.0,4.0,1.0,42.0,47.0,41.0,39.0,1
41.0,5.0,11.0,14.0,0.0,3.0,1.0,4.0,0.0,42.0,47.0,9.0,39.0,1
28.0,1.0,8.0,9.0,2.0,3.0,0.0,4.0,1.0,42.0,47.0,21.0,39.0,1
67.0,4.0,11.0,11.0,2.0,4.0,1.0,4.0,1.0,42.0,47.0,55.0,39.0,1
6.0,4.0,9.0,13.0,2.0,10.0,0.0,2.0,1.0,42.0,47.0,41.0,39.0,1
19.0,-1.0,11.0,7.0,4.0,11.0,4.0,4.0,1.0,42.0,47.0,41.0,39.0,1
31.0,4.0,14.0,10.0,4.0,12.0,5.0,4.0,0.0,42.0,47.0,31.0,39.0,1
11.0,0.0,15.0,7.0,4.0,10.0,0.0,4.0,1.0,42.0,47.0,41.0,39.0,1
10.0,1.0,11.0,9.0,4.0,4.0,3.0,4.0,1.0,95.0,47.0,46.0,39.0,1
34.0,4.0,2.0,10.0,4.0,1.0,1.0,4.0,1.0,42.0,47.0,21.0,39.0,1
43.0,4.0,11.0,13.0,4.0,10.0,4.0,4.0,0.0,42.0,95.0,41.0,39.0,1
43.0,4.0,9.0,9.0,2.0,4.0,0.0,4.0,0.0,42.0,47.0,60.0,39.0,1
33.0,4.0,11.0,16.0,2.0,7.0,3.0,4.0,0.0,42.0,47.0,41.0,39.0,1
39.0,4.0,9.0,14.0,2.0,0.0,0.0,1.0,1.0,42.0,47.0,49.0,39.0,1
18.0,4.0,11.0,10.0,2.0,3.0,0.0,4.0,1.0,42.0,47.0,36.0,39.0,1
30.0,4.0,9.0,13.0,4.0,4.0,1.0,4.0,0.0,42.0,47.0,41.0,39.0,1
8.0,1.0,11.0,15.0,4.0,12.0,0.0,4.0,1.0,42.0,47.0,49.0,39.0,1
57.0,4.0,15.0,9.0,2.0,12.0,3.0,4.0,1.0,42.0,47.0,41.0,39.0,1
24.0,4.0,11.0,10.0,4.0,10.0,0.0,2.0,0.0,42.0,47.0,31.0,26.0,1
33.0,4.0,15.0,11.0,0.0,6.0,0.0,4.0,0.0,42.0,47.0,46.0,25.0,1
32.0,4.0,11.0,10.0,2.0,4.0,0.0,4.0,1.0,42.0,47.0,41.0,39.0,1
21.0,6.0,15.0,9.0,2.0,8.0,0.0,4.0,1.0,42.0,47.0,60.0,39.0,1
15.0,4.0,11.0,6.0,2.0,12.0,0.0,4.0,1.0,42.0,47.0,41.0,39.0,1
26.0,4.0,9.0,9.0,2.0,1.0,0.0,4.0,1.0,42.0,47.0,31.0,39.0,1
23.0,4.0,11.0,6.0,2.0,5.0,0.0,4.0,0.0,42.0,47.0,36.0,39.0,1
16.0,4.0,11.0,10.0,2.0,4.0,3.0,4.0,1.0,42.0,47.0,55.0,39.0,1
