Attr0_X,Attr1_X,Attr2_X,Attr3_X,Attr4_X,Attr5_X,Attr6_X,Attr7_T,Attr8_T,Attr9_X,Attr10_X,Attr11_X,Attr12_X,outcome
38,6,14,11,2,13,0,4,1,42,47,72,39,0
31,4,11,13,4,7,1,3,1,42,47,65,39,1
10,4,12,13,4,0,0,1,0,42,47,50,39,0
10,4,9,14,3,3,1,3,1,94,47,41,39,0
61,-1,11,13,4,4,0,4,1,42,47,41,39,1
17,4,7,6,4,12,4,2,1,42,47,36,39,0
26,2,15,9,2,4,1,4,1,87,47,70,39,0
20,4,5,10,2,5,4,4,0,42,47,70,39,1
16,4,15,10,2,3,0,4,1,42,47,41,39,1
20,4,12,14,2,0,3,4,1,42,47,41,39,0
32,4,15,9,2,14,0,4,1,42,47,41,39,1
41,5,11,14,0,3,1,4,0,42,47,9,39,1
28,1,8,9,2,3,0,4,1,42,47,21,39,1
67,4,11,11,2,4,1,4,1,42,47,55,39,0
6,4,9,13,2,10,0,2,1,42,47,41,39,0
19,-1,11,7,4,11,4,4,1,42,47,41,39,0
31,4,14,10,4,12,5,4,0,42,47,31,39,0
11,0,15,7,4,10,0,4,1,42,47,41,39,1
10,1,11,9,4,4,3,4,1,95,47,46,39,0
34,4,2,10,4,1,1,4,1,42,47,21,39,0
43,4,11,13,4,10,4,4,0,42,95,41,39,0
43,4,9,9,2,4,0,4,0,42,47,60,39,1
33,4,11,16,2,7,3,4,0,42,47,41,39,1
39,4,9,14,2,0,0,1,1,42,47,49,39,0
18,4,11,10,2,3,0,4,1,42,47,36,39,0
30,4,9,13,4,4,1,4,0,42,47,41,39,0
8,1,11,15,4,12,0,4,1,42,47,49,39,0
57,4,15,9,2,12,3,4,1,42,47,41,39,0
24,4,11,10,4,10,0,2,0,42,47,31,26,1
33,4,15,11,0,6,0,4,0,42,47,46,25,0
32,4,11,10,2,4,0,4,1,42,47,41,39,0
21,6,15,9,2,8,0,4,1,42,47,60,39,0
15,4,11,6,2,12,0,4,1,42,47,41,39,0
26,4,9,9,2,1,0,4,1,42,47,31,39,0
23,4,11,6,2,5,0,4,0,42,47,36,39,0
16,4,11,10,2,4,3,4,1,42,47,55,39,0
10,4,9,5,2,10,3,4,1,42,99,41,39,0
20,7,15,13,2,4,3,4,0,42,47,31,39,0
5,4,15,9,4,10,5,4,1,42,47,39,39,1
44,4,8,10,4,12,5,4,0,90,47,41,39,1
24,4,15,16,4,1,0,2,0,42,47,60,39,0
10,1,9,10,4,10,1,4,0,42,47,41,39,0
54,4,15,9,2,4,3,4,1,42,47,41,8,0
22,4,15,4,4,1,1,4,1,42,47,18,39,0
22,1,11,3,2,3,0,4,1,42,47,60,39,0
