Attr0_X,Attr1_X,Attr2_X,Attr3_X,Attr4_X,Attr5_X,Attr6_X,Attr7_T,Attr8_T,Attr9_X,Attr10_X,Attr11_X,Attr12_X,outcome
27,7,9,13,4,1,1,4,1,88,47,41,39,0
38,6,9,13,2,4,0,4,1,42,47,14,39,0
26,4,11,9,0,6,1,4,1,42,47,41,39,0
41,4,1,7,2,6,0,2,1,42,47,41,39,0
16,4,9,13,2,10,5,2,0,42,47,41,5,0
25,4,12,14,2,4,5,4,0,42,47,41,39,0
37,4,6,5,3,8,1,2,0,42,47,17,23,0
40,6,11,9,2,4,0,4,1,42,47,46,39,1
19,4,12,14,4,10,1,4,0,96,47,50,39,1
30,4,9,13,2,4,0,4,1,93,47,41,39,1
25,4,15,10,2,4,0,2,1,42,47,80,39,1
18,7,9,13,2,10,0,1,1,42,47,41,19,1
11,4,9,13,4,1,3,4,0,42,47,31,39,0
20,4,7,12,4,12,1,2,1,42,47,50,39,0
28,4,8,11,2,3,0,1,1,42,47,41,0,1
22,4,5,4,2,14,0,0,1,42,47,46,26,0
13,6,11,9,4,5,3,4,1,42,47,36,39,0
20,4,11,9,4,7,4,4,1,42,47,41,39,0
26,4,1,7,2,12,0,4,1,42,47,50,39,0
31,6,12,14,0,4,4,4,0,42,47,46,39,1
28,4,10,16,2,10,0,4,1,42,47,60,39,1
42,4,11,9,5,8,4,2,0,42,47,21,39,0
23,1,6,5,2,5,0,2,1,42,47,41,39,0
31,4,1,7,2,14,0,4,1,42,99,41,39,0
47,4,11,9,0,13,4,4,0,42,47,41,39,0
44,2,9,13,2,13,0,4,1,42,47,41,39,1
7,4,11,9,4,3,3,4,1,42,47,41,39,0
42,0,15,10,2,0,0,1,1,42,47,60,35,1
27,4,11,9,0,4,1,4,1,42,47,80,39,0
37,4,11,9,2,3,0,4,1,42,47,41,39,0
11,2,7,12,4,11,1,4,1,42,47,52,39,0
8,4,15,10,4,12,3,2,1,42,47,45,39,0
33,4,9,13,0,4,3,4,1,42,94,41,39,0
18,1,15,10,2,1,3,4,1,42,47,41,39,0
10,7,15,10,2,8,0,2,1,42,47,16,39,0
36,4,1,7,4,7,4,4,1,42,47,41,33,0
9,4,15,10,4,7,3,4,1,42,47,41,39,0
7,4,11,9,1,1,5,4,0,42,47,26,39,0
19,4,15,10,2,12,0,4,1,42,47,39,0,1
36,6,7,12,2,10,0,4,1,42,47,41,39,0
19,4,6,5,2,7,0,4,1,42,47,44,39,0
41,6,9,13,2,10,0,4,1,42,47,41,39,0
12,4,9,13,2,13,0,4,1,42,47,50,39,0
37,4,11,9,5,1,4,4,0,42,47,41,39,0
13,4,11,9,4,6,1,4,1,42,47,36,39,0
45,1,9,13,2,10,0,2,1,42,47,41,39,1
41,4,11,9,2,7,0,4,1,42,47,39,39,0
32,4,12,14,0,4,4,4,0,42,47,41,39,0
29,7,8,11,2,3,0,4,1,42,47,41,39,0
17,4,8,11,4,10,1,4,1,42,47,44,39,0
13,4,15,10,2,4,5,3,0,42,47,41,39,0
6,4,11,9,4,8,3,4,0,42,47,31,0,0
35,4,14,15,2,10,5,4,0,42,96,60,16,1
38,1,9,13,0,4,1,4,1,42,47,55,39,1
35,5,11,9,0,4,1,4,1,42,47,60,39,0
31,4,15,10,2,13,0,4,1,42,47,41,39,1
34,4,4,3,2,7,0,4,1,42,47,41,26,0
23,4,8,11,2,8,0,4,1,42,47,41,33,0
29,4,11,9,2,1,0,4,1,42,47,49,39,0
18,4,11,9,2,7,0,4,1,93,47,41,39,0
18,4,9,13,2,12,0,4,1,89,47,41,39,0
20,0,5,4,3,0,1,4,1,42,47,41,0,0
36,4,11,9,2,14,0,4,1,42,47,41,39,0
30,4,10,16,2,10,0,4,1,42,47,46,39,1
17,4,15,10,0,13,1,4,1,42,47,58,39,0
24,4,11,9,2,3,0,4,1,42,47,41,39,0
16,4,15,10,0,1,1,4,0,42,47,41,39,0
41,4,11,9,2,1,5,4,0,42,47,41,39,1
37,5,15,10,2,4,0,4,1,42,47,50,39,1
13,0,15,10,4,0,3,4,1,42,47,41,39,0
