Attr1_X,Attr2_X,Attr3_X,Attr4_X,Attr5_X,Attr6_X,Attr7_X,Attr8_T,Attr9_T,Attr10_X,Attr11_X,Attr12_X,Attr13_X,outcome
41,7,9,14,4,1,1,4,1,92,94,67,39,0
59,6,9,14,2,4,0,4,1,91,94,2,39,0
39,4,11,7,0,6,1,4,1,91,94,67,39,0
62,4,1,1,2,6,0,2,1,91,94,67,39,0
20,4,9,14,2,10,5,2,0,91,94,67,5,0
37,4,12,15,2,4,5,4,0,91,94,67,39,0
57,4,6,0,3,8,1,2,0,91,94,4,23,0
61,6,11,7,2,4,0,4,1,91,94,74,39,1
25,4,12,15,4,10,1,4,0,98,94,85,39,1
47,4,9,14,2,4,0,4,1,95,94,67,39,1
37,4,15,10,2,4,0,2,1,91,94,95,39,1
23,7,9,14,2,10,0,1,1,91,94,67,19,1
10,4,9,14,4,1,3,4,0,91,94,15,39,0
27,4,7,12,4,12,1,2,1,91,94,85,39,0
43,4,8,11,2,3,0,1,1,91,94,67,0,1
31,4,5,0,2,14,0,0,1,91,94,74,26,0
14,6,11,7,4,5,3,4,1,91,94,20,39,0
27,4,11,7,4,7,4,4,1,91,94,67,39,0
39,4,1,1,2,12,0,4,1,91,94,85,39,0
48,6,12,15,0,4,4,4,0,91,94,74,39,1
43,4,10,15,2,10,0,4,1,91,94,92,39,1
63,4,11,7,5,8,4,2,0,91,94,8,39,0
33,1,6,0,2,5,0,2,1,91,94,67,39,0
48,4,1,1,2,14,0,4,1,91,98,67,39,0
67,4,11,7,0,13,4,4,0,91,94,67,39,0
65,2,9,14,2,13,0,4,1,91,94,67,39,1
3,4,11,7,4,3,3,4,1,91,94,67,39,0
63,0,15,10,2,0,0,1,1,91,94,92,35,1
41,4,11,7,0,4,1,4,1,91,94,95,39,0
57,4,11,7,2,3,0,4,1,91,94,67,39,0
10,2,7,12,4,11,1,4,1,91,94,85,39,0
5,4,15,10,4,12,3,2,1,91,94,69,39,0
51,4,9,14,0,4,3,4,1,91,94,67,39,0
23,1,15,10,2,1,3,4,1,91,94,67,39,0
8,7,15,10,2,8,0,2,1,91,94,4,39,0
56,4,1,1,4,7,4,4,1,91,94,67,33,0
7,4,15,10,4,7,3,4,1,91,94,67,39,0
3,4,11,7,1,1,5,4,0,91,94,11,39,0
25,4,15,10,2,12,0,4,1,91,94,22,0,1
56,6,7,12,2,10,0,4,1,91,94,67,39,0
25,4,6,0,2,7,0,4,1,91,94,69,39,0
62,6,9,14,2,10,0,4,1,91,94,67,39,0
12,4,9,14,2,13,0,4,1,91,94,85,39,0
57,4,11,7,5,1,4,4,0,91,94,67,39,0
14,4,11,7,4,6,1,4,1,91,94,20,39,0
66,1,9,14,2,10,0,2,1,91,94,67,39,1
62,4,11,7,2,7,0,4,1,91,94,22,39,0
50,4,12,15,0,4,4,4,0,91,94,67,39,0
45,7,8,11,2,3,0,4,1,91,94,67,39,0
21,4,8,11,4,10,1,4,1,91,94,69,39,0
14,4,15,10,2,4,5,3,0,91,94,67,39,0
2,4,11,7,4,8,3,4,0,91,94,15,0,0
55,4,14,15,2,10,5,4,0,91,97,92,16,1
59,1,9,14,0,4,1,4,1,91,94,88,39,1
55,5,11,7,0,4,1,4,1,91,94,92,39,0
48,4,15,10,2,13,0,4,1,91,94,67,39,1
53,4,4,0,2,7,0,4,1,91,94,67,26,0
33,4,8,11,2,8,0,4,1,91,94,67,33,0
45,4,11,7,2,1,0,4,1,91,94,76,39,0
23,4,11,7,2,7,0,4,1,95,94,67,39,0
23,4,9,14,2,12,0,4,1,92,94,67,39,0
27,0,5,0,3,0,1,4,1,91,94,67,0,0
56,4,11,7,2,14,0,4,1,91,94,67,39,0
47,4,10,15,2,10,0,4,1,91,94,74,39,1
21,4,15,10,0,13,1,4,1,91,94,88,39,0
35,4,11,7,2,3,0,4,1,91,94,67,39,0
20,4,15,10,0,1,1,4,0,91,94,67,39,0
62,4,11,7,2,1,5,4,0,91,94,67,39,1
57,5,15,10,2,4,0,4,1,91,94,85,39,1
14,0,15,10,4,0,3,4,1,91,94,67,39,0
3,4,15,10,4,10,3,4,1,91,94,16,39,0
25,4,9,14,5,12,3,2,0,91,94,67,39,0
21,6,9,14,2,12,0,4,1,91,94,94,39,1
10,4,15,10,4,7,1,4,1,91,94,67,39,0
73,4,15,10,2,10,2,4,1,91,94,8,39,0
18,4,11,7,4,8,3,4,1,91,94,67,26,0
43,4,7,12,2,1,0,4,1,91,94,67,39,0
71,0,0,1,2,0,0,4,1,91,94,0,39,0
2,4,1,1,4,8,3,4,0,91,94,8,39,0
25,2,5,0,2,5,0,4,1,91,94,67,39,0
2,4,11,7,4,12,1,4,1,91,94,15,39,0
61,4,9,14,2,8,0,4,1,91,94,67,5,0
53,4,11,7,2,8,5,4,0,91,94,67,39,0
67,4,11,7,2,12,0,4,1,91,94,76,39,0
50,4,11,7,0,3,1,4,0,98,94,67,39,1
62,4,11,7,0,12,3,4,0,91,94,20,39,0
57,2,11,7,2,11,0,4,1,91,94,67,39,1
29,4,12,15,2,10,0,4,1,91,94,85,39,0
23,4,6,0,4,12,1,4,1,91,94,67,39,0
48,1,10,15,4,10,1,4,0,91,94,85,39,1
66,4,8,11,2,10,0,4,1,91,94,67,39,0
37,4,15,10,0,3,4,4,0,91,94,67,39,0
20,4,15,10,0,7,4,2,0,91,94,11,39,0
23,4,11,7,2,12,5,1,0,91,94,20,0,0
31,2,9,14,2,11,0,4,1,91,94,67,39,1
21,2,15,10,4,6,1,4,1,91,94,85,39,0
56,6,10,15,2,10,0,4,1,91,97,92,39,1
37,4,15,10,2,12,0,4,1,91,94,76,39,1
56,4,7,12,0,4,4,4,0,91,94,67,9,0
27,1,11,7,4,8,3,2,1,91,94,67,39,0
73,4,12,15,2,4,0,4,1,91,94,67,39,1
50,4,9,14,2,4,0,4,1,99,94,92,39,1
55,6,12,15,4,10,1,4,0,91,94,85,39,0
5,4,15,10,4,13,3,4,0,91,94,67,39,0
21,4,11,7,4,3,1,4,1,91,94,67,39,0
27,5,11,7,2,3,0,4,1,97,94,67,39,1
0,0,0,1,4,0,3,4,0,99,94,16,39,0
23,4,1,1,4,6,3,4,1,91,94,67,39,0
25,2,11,7,4,1,1,4,0,91,94,67,39,0
47,4,11,7,2,6,0,4,1,91,94,67,39,0
12,4,9,14,4,12,2,4,1,91,94,67,39,0
39,4,14,15,2,10,0,4,1,91,94,67,39,1
65,6,11,7,2,8,0,4,1,91,96,85,2,1
20,4,15,10,2,12,5,4,0,94,94,11,39,0
35,4,11,7,4,7,3,4,0,91,94,67,39,0
62,4,6,0,2,6,0,4,1,91,94,85,39,0
65,5,15,10,2,12,0,4,1,91,94,85,39,0
